definition1,sensekey1,relation,sensekey2,definition2
make into a confection,confect%2:36:00::,event,confection%1:04:00::,the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
make into a confection,confection%2:36:00::,event,confection%1:04:00::,the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
form a group or unite,confederate%2:41:00::,agent,confederate%1:18:00::,a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
form a group or unite,confederate%2:41:00::,event,confederation%1:04:00::,the act of forming an alliance or confederation
form a group or unite,confederate%2:41:00::,event,confederation%1:14:00::,a union of political organizations
form a group or unite,confederate%2:41:00::,state,confederation%1:26:00::,the state of being allied or confederated
form a confederation with; of nations,confederate%2:41:10::,agent,confederate%1:18:00::,a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
form a confederation with; of nations,confederate%2:41:10::,event,confederation%1:04:00::,the act of forming an alliance or confederation
form a confederation with; of nations,confederate%2:41:10::,state,confederation%1:26:00::,the state of being allied or confederated
have a conference in order to talk something over,confer%2:32:00::,agent,conferee%1:18:00::,a member of a conference
have a conference in order to talk something over,confer%2:32:00::,event,conference%1:10:00::,a discussion among participants who have an agreed (serious) topic
have a conference in order to talk something over,confer%2:32:00::,event,conference%1:14:00::,a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
present,confer%2:40:00::,event,conferee%1:18:01::,a person on whom something is bestowed
present,confer%2:40:00::,event,conferment%1:04:00::,the act of conferring an honor or presenting a gift
present,confer%2:40:00::,event,conferral%1:04:00::,the act of conferring an honor or presenting a gift
"confess to a punishable or reprehensible deed, usually under pressure",confess%2:32:00::,event,confession%1:10:00::,an admission of misdeeds or faults
"confess to a punishable or reprehensible deed, usually under pressure",confess%2:32:00::,by means of,confession%1:10:01::,a written document acknowledging an offense and signed by the guilty party
"confess to a punishable or reprehensible deed, usually under pressure",confess%2:32:00::,agent,confessor%1:18:01::,someone who confesses (discloses information damaging to themselves)
admit (to a wrongdoing),confess%2:32:01::,event,confession%1:10:00::,an admission of misdeeds or faults
admit (to a wrongdoing),confess%2:32:01::,by means of,confession%1:10:01::,a written document acknowledging an offense and signed by the guilty party
admit (to a wrongdoing),confess%2:32:01::,agent,confessor%1:18:01::,someone who confesses (discloses information damaging to themselves)
"confess to God in the presence of a priest, as in the Catholic faith",confess%2:32:03::,event,confession%1:04:00::,(Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution
"confess to God in the presence of a priest, as in the Catholic faith",confess%2:32:03::,agent,confessor%1:18:00::,a priest who hears confession and gives absolution
reveal in private; tell confidentially,confide%2:32:00::,undergoer,confidence%1:10:00::,a secret that is confided or entrusted to another
set up for a particular purpose,configure%2:36:00::,result,configuration%1:09:00::,an arrangement of parts or elements
deprive of freedom; take into confinement,confine%2:41:00::,event,confinement%1:04:00::,the act of restraining of a person's liberty by confining them
close in,confine%2:42:00::,state,confinement%1:26:00::,the state of being confined
establish or strengthen as with new evidence or facts,confirm%2:31:00::,by means of,confirmation%1:09:00::,additional proof that something that was believed (some fact or hypothesis or theory) is correct
establish or strengthen as with new evidence or facts,confirm%2:31:00::,by means of,confirmation%1:10:00::,information that confirms or verifies
strengthen or make more firm,confirm%2:32:00::,by means of,confirmation%1:09:00::,additional proof that something that was believed (some fact or hypothesis or theory) is correct
strengthen or make more firm,confirm%2:32:00::,by means of,confirmation%1:10:00::,information that confirms or verifies
support a person for a position,confirm%2:41:01::,event,confirmation%1:10:01::,making something valid by formally ratifying or confirming it
"take temporary possession of as a security, by legal authority",confiscate%2:40:01::,event,confiscation%1:04:00::,seizure by the government
"go against, as of rules and laws",conflict%2:41:11::,state,conflict%1:26:00::,a state of opposition between persons or ideas or interests
be in conflict,conflict%2:42:00::,event,conflict%1:07:00::,an incompatibility of dates or events
be in conflict,conflict%2:42:00::,event,conflict%1:12:00::,opposition between two simultaneous but incompatible feelings
be in conflict,conflict%2:42:00::,state,conflict%1:26:00::,a state of opposition between persons or ideas or interests
"be similar, be in line with",conform%2:42:06::,state,conformance%1:07:00::,correspondence in form or appearance
"be similar, be in line with",conform%2:42:06::,event,conformation%1:04:01::,acting according to certain accepted standards
"present somebody with something, usually to accuse or criticize",confront%2:32:03::,event,confrontation%1:04:01::,a focussed comparison; bringing together for a careful comparison
"oppose, as in hostility or a competition",confront%2:33:00::,event,confrontation%1:04:00::,the act of hostile groups opposing each other
"oppose, as in hostility or a competition",confront%2:33:00::,event,confrontation%1:10:01::,a bold challenge
be face to face with,confront%2:42:00::,event,confrontation%1:04:00::,the act of hostile groups opposing each other
be face to face with,confront%2:42:00::,event,confrontation%1:10:00::,a hostile disagreement face-to-face
mistake one thing for another,confuse%2:31:02::,result,confusion%1:04:00::,a mistake that results from taking one thing to be another
